iter	Logloss
0	0.6464867663
1	0.6035201472
2	0.5625402162
3	0.5279652413
4	0.4960892557
5	0.4613106187
6	0.4286061833
7	0.401251016
8	0.3747996081
9	0.3548274448
10	0.3334669042
11	0.3135672994
12	0.2951920605
13	0.2807281268
14	0.2660526308
15	0.2507465407
16	0.2392240143
17	0.2269104829
18	0.2166351551
19	0.2061314001
20	0.1978656424
21	0.189692313
22	0.1821377015
23	0.1749112114
24	0.1663043351
25	0.1606311665
26	0.1542280984
27	0.1473236383
28	0.1434005421
29	0.1377368532
30	0.1328957773
31	0.1280474489
32	0.1241340117
33	0.1193871246
34	0.1159113931
35	0.1124248715
36	0.108766415
37	0.1053548333
38	0.1021773055
39	0.09885698116
40	0.09576849278
41	0.09305798654
42	0.09076902161
43	0.08827544248
44	0.08546817172
45	0.08299195023
46	0.0803782189
47	0.07802998792
48	0.07581234795
49	0.07415224794
50	0.07178234772
51	0.06989303241
52	0.06833333231
53	0.06642352308
54	0.06474789916
55	0.06303275465
56	0.06160207153
57	0.06027288054
58	0.05864009417
59	0.05714078943
60	0.05600791816
61	0.05479426531
62	0.05402197707
63	0.0529040398
64	0.05184332967
65	0.0506987904
66	0.04995079817
67	0.04900386686
68	0.04798410301
69	0.04716411461
70	0.04626971711
71	0.0454384371
72	0.04463475254
73	0.04360923889
74	0.04295018396
75	0.04206635268
76	0.04123240035
77	0.04048356053
78	0.03988046789
79	0.03905848637
80	0.03846980722
81	0.03801240068
82	0.03738390255
83	0.03685753352
84	0.03631846171
85	0.03594128002
86	0.03538465145
87	0.03481651465
88	0.03422175813
89	0.03377232563
90	0.03321232389
91	0.03272057364
92	0.03216095457
93	0.03174281398
94	0.03131490021
95	0.03078195062
96	0.03039720216
97	0.02993468733
98	0.02960186805
99	0.02916038189
100	0.02858679258
101	0.02810013506
102	0.02787704806
103	0.02749641173
104	0.027104217
105	0.02668270962
106	0.0263283515
107	0.02588472166
108	0.02557006078
109	0.0250409644
110	0.02479514276
111	0.02446949189
112	0.02407831561
113	0.02371136781
114	0.0234154119
115	0.02305560819
116	0.02277306301
117	0.02248422304
118	0.02220239945
119	0.02192695661
120	0.02169687742
121	0.02151399666
122	0.02114397499
123	0.02094482314
124	0.02066732514
125	0.02046049548
126	0.0202514271
127	0.02001511973
128	0.01981302595
129	0.0195891097
130	0.01929504472
131	0.01912766037
132	0.01890131214
133	0.01873087104
134	0.01854235027
135	0.01830750241
136	0.01804396811
137	0.01784345191
138	0.01768406051
139	0.01750114511
140	0.01738250926
141	0.01718912329
142	0.0170103737
143	0.01679166191
144	0.01662981172
145	0.01646896744
146	0.01632528873
147	0.01607716253
148	0.01588800469
149	0.0157028738
150	0.01549393276
151	0.01535484027
152	0.01519045479
153	0.01507425036
154	0.01492054004
155	0.01480694929
156	0.01466319707
157	0.01454790492
158	0.01436880804
159	0.01421782454
160	0.01411628823
161	0.01396675233
162	0.01383884834
163	0.01372100681
164	0.01360850652
165	0.01348862775
166	0.01331397872
167	0.01324237316
168	0.01309703543
169	0.01300466622
170	0.01289869985
171	0.01278322119
172	0.01264809307
173	0.01255250654
174	0.01245564702
175	0.0123172441
176	0.0122104737
177	0.01209942582
178	0.01196025867
179	0.01184244153
180	0.01173526507
181	0.01164634142
182	0.01155356457
183	0.01143893855
184	0.01134004703
185	0.011223713
186	0.01112470056
187	0.01105893303
188	0.01097516628
189	0.01089014989
190	0.01081817165
191	0.0107267459
192	0.01065474628
193	0.0105684968
194	0.01046686349
195	0.0103763699
196	0.01028199839
197	0.01018551576
198	0.01011381317
199	0.01003346063
